Lexema: program	Tipo: TKN_PROGRAM	Linea: 1	Columna: 0
Lexema: {	Tipo: TKN_LBRACE	Linea: 21	Columna: 17
Lexema: x	Tipo: TKN_ID	Linea: 23	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 23	Columna: 16
Lexema: x	Tipo: TKN_ID	Linea: 23	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 23	Columna: 18
Lexema: 2	Tipo: TKN_NUM	Linea: 23	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 23	Columna: 20
Lexema: a	Tipo: TKN_ID	Linea: 25	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 25	Columna: 16
Lexema: a	Tipo: TKN_ID	Linea: 25	Columna: 17
Lexema: *	Tipo: TKN_MULTI	Linea: 25	Columna: 18
Lexema: x	Tipo: TKN_ID	Linea: 25	Columna: 19
Lexema: +	Tipo: TKN_ADD	Linea: 25	Columna: 20
Lexema: b	Tipo: TKN_ID	Linea: 25	Columna: 21
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 25	Columna: 22
Lexema: y	Tipo: TKN_ID	Linea: 27	Columna: 15
Lexema: =	Tipo: TKN_ASSIGN	Linea: 27	Columna: 16
Lexema: y	Tipo: TKN_ID	Linea: 27	Columna: 17
Lexema: -	Tipo: TKN_MINUS	Linea: 27	Columna: 18
Lexema: 1	Tipo: TKN_NUM	Linea: 27	Columna: 19
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 27	Columna: 20
Lexema: }	Tipo: TKN_RBRACE	Linea: 29	Columna: 10
Lexema: fi	Tipo: TKN_FI	Linea: 31	Columna: 0
Lexema: while	Tipo: TKN_WHILE	Linea: 33	Columna: 0
Lexema: (	Tipo: TKN_LPAREN	Linea: 33	Columna: 5
Lexema: a	Tipo: TKN_ID	Linea: 33	Columna: 6
Lexema: ==	Tipo: TKN_EQUAL	Linea: 33	Columna: 7
Lexema: 3	Tipo: TKN_NUM	Linea: 33	Columna: 9
Lexema: )	Tipo: TKN_RPAREN	Linea: 33	Columna: 10
Lexema: {	Tipo: TKN_LBRACE	Linea: 33	Columna: 11
Lexema: write	Tipo: TKN_WRITE	Linea: 35	Columna: 0
Lexema: a	Tipo: TKN_ID	Linea: 35	Columna: 6
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 35	Columna: 7
Lexema: }	Tipo: TKN_RBRACE	Linea: 37	Columna: 10
Lexema: }	Tipo: TKN_RBRACE	Linea: 39	Columna: 5
Lexema: until	Tipo: TKN_UNTIL	Linea: 39	Columna: 7
Lexema: (	Tipo: TKN_LPAREN	Linea: 39	Columna: 12
Lexema: y	Tipo: TKN_ID	Linea: 39	Columna: 13
Lexema: >=	Tipo: TKN_EMORE	Linea: 39	Columna: 14
Lexema: 0	Tipo: TKN_NUM	Linea: 39	Columna: 16
Lexema: )	Tipo: TKN_RPAREN	Linea: 39	Columna: 17
Lexema: ;	Tipo: TKN_SEMICOLON	Linea: 39	Columna: 18
Lexema: }	Tipo: TKN_RBRACE	Linea: 41	Columna: 0
